Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
Complement and coagulation cascades (WP558)	85.0	63	54	0	4	2	3	[a0d : Cfb : En:ENSRNOG00000051235, a2d : Plat : En:ENSRNOG00000019018, a62 : Cfd : En:ENSRNOG00000033564, a9d : F8 : En:ENSRNOG00000031197, aae : Serpina5 : En:ENSRNOG00000009855, abe : F9 : En:ENSRNOG00000003430, ac8 : F2r : En:ENSRNOG00000048043, acc40 : Clu : En:ENSRNOG00000016460, aff : Serpina1 : En:ENSRNOG00000032669, b0c : Tfpi : En:ENSRNOG00000005039, b53 : Fgb : En:ENSRNOG00000007092, b56 : Klkb1 : En:ENSRNOG00000014118, b5e : Masp2 : En:ENSRNOG00000011258, ba3 : RGD1559810 : En:ENSRNOG00000026207, bc7 : F13b : En:ENSRNOG00000012613, bd0 : F10 : En:ENSRNOG00000033444, bd9 : F7 : En:ENSRNOG00000032737, bdf : Cr2 : En:ENSRNOG00000034164, bf4 : F3 : En:ENSRNOG00000011800, c27 : Serping1 : En:ENSRNOG00000007457, c35 : C1s : En:ENSRNOG00000011971, c3b : C1qc : En:ENSRNOG00000012804, c42 : Bdkrb1 : En:ENSRNOG00000004488, c66 : F5 : En:ENSRNOG00000057855, c86 : Vwf : En:ENSRNOG00000019689, cc7 : Plau : En:ENSRNOG00000010516, cd5 : Serpinf2 : En:ENSRNOG00000003233, cd8 : C3ar1 : En:ENSRNOG00000009211, ce1 : Thbd : En:ENSRNOG00000004687, d36 : Cltc : En:ENSRNOG00000004291, d3a : Cfi : En:ENSRNOG00000053400, d80 : F2 : En:ENSRNOG00000016325, d99 : C1r : En:ENSRNOG00000011796, da2 : Proc : En:ENSRNOG00000014376, da8 : Cd55 : En:ENSRNOG00000003927, daf : Pros1 : En:ENSRNOG00000048723, db8 : Plaur : En:ENSRNOG00000037931, dc7 : C1qb : En:ENSRNOG00000012749, dc8 : Serpine1 : En:ENSRNOG00000001414, dd4 : C6 : En:ENSRNOG00000024115, dfd : C1qa : En:ENSRNOG00000012807, e1d : C8g : En:ENSRNOG00000028701, e31 : F12 : En:ENSRNOG00000015139, e4c : Lman1 : En:ENSRNOG00000024470, e50 : C9 : En:ENSRNOG00000013736, e8d : Serpinc1 : En:ENSRNOG00000002783, ec4 : Plg : En:ENSRNOG00000017223, f1b : Serpind1 : En:ENSRNOG00000001865, f1e : C3 : En:ENSRNOG00000046834, f8f : Masp1 : En:ENSRNOG00000001827, f95 : Cpb2 : En:ENSRNOG00000010935, fb9 : C4b : En:ENSRNOG00000070397, fe7 : Kng2l1 : En:ENSRNOG00000065935, ffa : Cr1l : En:ENSRNOG00000008193]	[]	[b3e : CFH : L:3075, b64 : C5R1 : L:728, c47 : C7 : L:730, f8b : H2-BF : L:629]	[b73 : A2M : L:2, e9c : 109821 : L:109821]	[b10 : CRRY : :, c04 : CD59A : :, d90 : Daf2 : :]
ACE inhibitor pathway (WP554)	86.0	22	19	0	1	0	2	[ab119 : Nos3 : En:ENSRNOG00000009348, b1122 : Agtr2 : En:ENSRNOG00000050006, b4349 : Bdkrb1 : En:ENSRNOG00000004488, b4811 : Agtr1b : En:ENSRNOG00000010640, becdd : Tgfb1 : En:ENSRNOG00000020652, c9ca8 : Ctsg : En:ENSRNOG00000020647, cc0b4 : Kng2l1 : En:ENSRNOG00000065935, d6f1e : Ace : En:ENSRNOG00000062101, de1e4 : Cma1 : En:ENSRNOG00000020563, e0a11 : Ren : En:ENSRNOG00000002937, e3012 : Mas1 : En:ENSRNOG00000014971, e68e0 : Ace2 : En:ENSRNOG00000031665, e89d5 : Agt : En:ENSRNOG00000018445, ec3b5 : Nr3c2 : En:ENSRNOG00000034007, ee619 : Atp6ap2 : En:ENSRNOG00000003858, ef1f3 : Ace : En:ENSRNOG00000062101, f54f5 : Bdkrb2 : En:ENSRNOG00000047300, d046f : Ace : En:ENSRNOG00000062101, e08c8 : Ace2 : En:ENSRNOG00000031665]	[]	[e14ac : CYP11B2 : L:1585]	[]	[b47da : TFs : :, fd8ec : TFs : :]
Biogenic amine synthesis (WP550)	94.0	18	17	0	1	0	0	[a07 : Gad2 : En:ENSRNOG00000018200, a57 : Ddc : En:ENSRNOG00000004327, b44 : Tph1 : En:ENSRNOG00000011672, beb : Hdc : En:ENSRNOG00000010262, bf8 : Dbh : En:ENSRNOG00000006641, c29 : Ddc : En:ENSRNOG00000004327, c51 : Th : En:ENSRNOG00000020410, ce1 : Pnmt : En:ENSRNOG00000046057, d77 : Ache : En:ENSRNOG00000050841, d8e : Comt : En:ENSRNOG00000001889, da0 : Pah : En:ENSRNOG00000004302, dd5 : Aanat : En:ENSRNOG00000011182, e25 : Gad1 : En:ENSRNOG00000000007, e9e : Maoa : En:ENSRNOG00000002848, f4d : Asmt : En:ENSRNOG00000001324, fc6 : Maoa : En:ENSRNOG00000002848, fd9 : Ddc : En:ENSRNOG00000004327]	[]	[dbf : CHAT : L:1103]	[]	[]
Sphingolipid pathway (WP1422)	88.0	60	53	0	2	5	0	[a5360 : Asah2 : En:ENSRNOG00000012196, a57e9 : Cers6 : En:ENSRNOG00000024595, aa3f3 : Sgpp2 : En:ENSRNOG00000069992, ad7df : Cers5 : En:ENSRNOG00000052990, af5ff : Sgms1 : En:ENSRNOG00000012536, b2425 : Cers4 : En:ENSRNOG00000001072, b3d6f : Sptlc2 : En:ENSRNOG00000012210, b507f : Gal3st1 : En:ENSRNOG00000042041, b6158 : Ppp1ca : En:ENSRNOG00000018708, bee8e : Kdsr : En:ENSRNOG00000002781, ce715 : Kdsr : En:ENSRNOG00000002781, d0fb7 : Sptlc3 : En:ENSRNOG00000004443, d8f32 : Cert1 : En:ENSRNOG00000015686, da341 : B4galt6 : En:ENSRNOG00000015895, da9e1 : Acer1 : En:ENSRNOG00000047368, dad9d : Asah1 : En:ENSRNOG00000010034, e0766 : Asah1 : En:ENSRNOG00000010034, e11ac : Acer1 : En:ENSRNOG00000047368, ea7b6 : Cerk : En:ENSRNOG00000017022, ed3bd : Sphk2 : En:ENSRNOG00000021032, ed564 : Cers3 : En:ENSRNOG00000013823, ef2da : Plpp1 : En:ENSRNOG00000009980, f04ab : Cers2 : En:ENSRNOG00000021138, f0bbf : Sgpp2 : En:ENSRNOG00000069992, f1fc7 : Plpp1 : En:ENSRNOG00000009980, f3b45 : Sphk1 : En:ENSRNOG00000010626, f85d7 : Sphk2 : En:ENSRNOG00000021032, f895c : Asah2 : En:ENSRNOG00000012196, fbdfa : Sgms2 : En:ENSRNOG00000011284, ff4f3 : Sptlc1 : En:ENSRNOG00000010882, ffe16 : Sphk1 : En:ENSRNOG00000010626, e5b7b : Cert1 : En:ENSRNOG00000015686, c3e74 : Sgms2 : En:ENSRNOG00000011284, d4f47 : Sgms1 : En:ENSRNOG00000012536, b8363 : Gal3st1 : En:ENSRNOG00000042041, a799c : Cerk : En:ENSRNOG00000017022, f5379 : B4galt6 : En:ENSRNOG00000015895, f0fd2 : PP2A : En:ENSRNOG00000001893, de8e4 : Cers6 : En:ENSRNOG00000024595, cb4a9 : Cers5 : En:ENSRNOG00000052990, bbf40 : Cers4 : En:ENSRNOG00000001072, dd237 : Cers3 : En:ENSRNOG00000013823, d4bd7 : Cers2 : En:ENSRNOG00000021138, c4b30 : Cert1 : En:ENSRNOG00000015686, de6ca : Gba : En:ENSRNOG00000049281, be145 : Gba2 : En:ENSRNOG00000016364, eefbd : Ugt8 : En:ENSRNOG00000009345, f4d40 : Ugcg : En:ENSRNOG00000015644, e7573 : Ugt8 : En:ENSRNOG00000009345, a62ed : Ugcg : En:ENSRNOG00000015644, a2629 : Sgms2 : En:ENSRNOG00000011284, ec2ad : Sgms1 : En:ENSRNOG00000012536, ac6c7 : Sgpl1 : En:ENSRNOG00000000565]	[]	[a0709 : CerS1 : L:57515, e904a : CerS1 : L:57515]	[b8e9e : Phosphatase : E:3.1.3.16, bc688 : CDase : E:3.5.1.23, f008f : S1P lyase : E:4.1.2.27, ff315 : SoP lyase1 : E:4.1.2.27, d5abb : Glucosylceramidase : E:3.2.1.45]	[]
7q11.23 copy number variation syndrome (WP4932)	90.0	133	120	0	10	3	0	[null : Myo1c : En:ENSRNOG00000004072, null : Ercc6 : En:ENSRNOG00000030017, null : Dek : En:ENSRNOG00000016152, null : Smarca5 : En:ENSRNOG00000018149, null : Ddx21 : En:ENSRNOG00000043099, null : Mybbp1a : En:ENSRNOG00000015236, null : Sf3b1 : En:ENSRNOG00000013516, null : Baz1b : En:ENSRNOG00000001453, null : Atp5f1a : En:ENSRNOG00000017032, null : Atpaf2 : En:ENSRNOG00000003719, null : Atp5f1b : En:ENSRNOG00000002840, null : Atpaf1 : En:ENSRNOG00000010169, null : Vps9d1 : En:ENSRNOG00000028904, null : Atp5f1d : En:ENSRNOG00000014625, null : ATP5E : En:ENSRNOG00000049912, null : Atp5po : En:ENSRNOG00000001991, null : Mt-atp6 : En:ENSRNOG00000031979, null : Mt-atp8 : En:ENSRNOG00000033299, null : Atp5pb : En:ENSRNOG00000064742, null : AC098622.1 : En:ENSRNOG00000021123, null : AABR07007730.1 : En:ENSRNOG00000018045, null : Atp5mc3 : En:ENSRNOG00000001596, a0b08 : Fas : En:ENSRNOG00000019142, a42a7 : Fbln5 : En:ENSRNOG00000050539, a638c : Gtf2i : En:ENSRNOG00000001479, a8980 : MAPK3 : En:ENSRNOG00000067941, a934c : Hdac2 : En:ENSRNOG00000000604, aa0b5 : Atf4 : En:ENSRNOG00000017801, aa533 : Cldn4 : En:ENSRNOG00000001476, aac2c : Tbl2 : En:ENSRNOG00000046252, ab530 : U6 : En:ENSRNOG00000057725, ab63b : Acaca : En:ENSRNOG00000034013, ab80e : Ube2e1 : En:ENSRNOG00000008794, ad9d1 : Limk1 : En:ENSRNOG00000001470, adbf1 : Cltc : En:ENSRNOG00000004291, af32e : Baz1b : En:ENSRNOG00000001453, b223d : Nrg1 : En:ENSRNOG00000010392, b267a : Trim50 : En:ENSRNOG00000022483, b2a8e : Tmem270 : En:ENSRNOG00000001474, b3725 : Abhd11 : En:ENSRNOG00000018910, b42d9 : Sqstm1 : En:ENSRNOG00000003147, b5281 : Eif4h : En:ENSRNOG00000001454, b6d13 : Wnt2 : En:ENSRNOG00000051905, b73c3 : Fzd9 : En:ENSRNOG00000001452, b7b0c : Rfc2 : En:ENSRNOG00000001457, b8646 : Clip2 : En:ENSRNOG00000021611, bc639 : Rb1 : En:ENSRNOG00000016029, bf0c0 : CTNNB1 : En:ENSRNOG00000069184, c069e : Nup62 : En:ENSRNOG00000048733, c1b7d : Tsg101 : En:ENSRNOG00000013381, c2378 : Hspa2 : En:ENSRNOG00000006472, c6076 : Snap25 : En:ENSRNOG00000006037, c68b8 : Hoxc8 : En:ENSRNOG00000028619, c95eb : AABR07021022.1 : En:ENSRNOG00000029425, c9a7e : Bcl7b : En:ENSRNOG00000032705, caff7 : Dld : En:ENSRNOG00000006364, cb157 : Clasp1 : En:ENSRNOG00000002376, cbc65 : Fbln2 : En:ENSRNOG00000007338, ccd05 : Ube2l6 : En:ENSRNOG00000030467, cce9f : AABR07035839.1 : En:ENSRNOG00000046171, d0388 : Cldn3 : En:ENSRNOG00000046007, d0687 : Gapdh-ps1 : En:ENSRNOG00000071205, d3b79 : Pcna : En:ENSRNOG00000021264, d6310 : Mvb12a : En:ENSRNOG00000017949, d7467 : AABR07006724.1 : En:ENSRNOG00000053728, d7c33 : Grip1 : En:ENSRNOG00000004013, d92a7 : H2ax : En:ENSRNOG00000010386, d9874 : Cdc45 : En:ENSRNOG00000050071, dad5d : Ubiad1 : En:ENSRNOG00000009575, deafb : Vps37d : En:ENSRNOG00000048699, defa6 : Dlst : En:ENSRNOG00000005061, e2bbe : Stx1a : En:ENSRNOG00000029165, e337d : Ulk1 : En:ENSRNOG00000037505, e38a6 : Ogdh : En:ENSRNOG00000005130, e3f01 : Hdac6 : En:ENSRNOG00000048738, e4a9e : Vamp2 : En:ENSRNOG00000006989, e56e7 : Acacb : En:ENSRNOG00000000658, e591c : Dnajc30 : En:ENSRNOG00000031721, e7094 : Rfc5 : En:ENSRNOG00000001134, e8150 : Cdkn1c : En:ENSRNOG00000059500, e8b2b : Clasp2 : En:ENSRNOG00000009161, e8e38 : Bud23 : En:ENSRNOG00000033700, e9a29 : Gtf2ird1 : En:ENSRNOG00000001478, eae1c : Fbn1 : En:ENSRNOG00000007302, eb38e : Btk : En:ENSRNOG00000052407, eb41e : Myc : En:ENSRNOG00000004500, ec314 : Brd4 : En:ENSRNOG00000006770, ee204 : Eif2a : En:ENSRNOG00000013393, eeca0 : Hmga1 : En:ENSRNOG00000000488, ef497 : Fkbp6 : En:ENSRNOG00000001451, f0dff : Stx1a : En:ENSRNOG00000029165, f0f9f : Pklr : En:ENSRNOG00000020420, f1654 : Becn1 : En:ENSRNOG00000020513, f2de6 : Cfl1 : En:ENSRNOG00000020660, f6195 : Chtf18 : En:ENSRNOG00000019174, f74e5 : Eif2ak3 : En:ENSRNOG00000006069, f76b5 : Lat2 : En:ENSRNOG00000021856, fa05e : Cldn1 : En:ENSRNOG00000001926, fabb1 : Grb2 : En:ENSRNOG00000003990, fb9d1 : Eln : En:ENSRNOG00000001469, fc684 : Pcna : En:ENSRNOG00000021264, fd8bd : Ube2e3 : En:ENSRNOG00000004544, bfadc : Becn1 : En:ENSRNOG00000020513, ed17a : Becn1 : En:ENSRNOG00000020513, dfee5 : Trim50 : En:ENSRNOG00000022483, b4f9a : Trim50 : En:ENSRNOG00000022483, e72ba : Fkbp6 : En:ENSRNOG00000001451, dce00 : H2ax : En:ENSRNOG00000010386, c9421 : Eif2a : En:ENSRNOG00000013393, c4b6d : Atf4 : En:ENSRNOG00000017801, ad0b6 : Fas : En:ENSRNOG00000019142, c17f8 : Acaca : En:ENSRNOG00000034013, bacaa : Acacb : En:ENSRNOG00000000658, e10a3 : Pklr : En:ENSRNOG00000020420, b6116 : Vps28 : En:ENSRNOG00000014633, e1c3f : Vps37a : En:ENSRNOG00000012001, e2316 : Vps37b : En:ENSRNOG00000001086, ac059 : Vps37c : En:ENSRNOG00000046439, bc30a : Vps37d : En:ENSRNOG00000048699, ae77f : Lat2 : En:ENSRNOG00000021856]	[]	[null : RNU6-1198P : En:ENSG00000252713, null : hsa-mir-4284 : Mb:MI0015893, null : RN7SL265P : En:ENSG00000241709, null : ABHD11-AS1 : En:ENSG00000225969, null : ELN-AS1 : En:ENSG00000232415, null : MIR590 : En:ENSG00000207741, null : RNA5SP233 : En:ENSG00000238391, ae72f : USF1 : En:ENSG00000158773, b3a2d : STAG3L2 : En:ENSG00000277072, f9f47 : HDAC3 : En:ENSG00000171720]	[null : RNU6-1070P : En:ENSG00000252538, b7821 : Botulinum neurotoxin type C : S:P18640, d15d3 : Clostridium enterotoxin : Pf:PF03505]	[]
Ganglio sphingolipid metabolism (WP1423)	100.0	43	43	0	0	0	0	[a121b : Rps18 : En:ENSRNOG00000000471, a2009 : B4galnt1 : En:ENSRNOG00000004839, a57c4 : St6galnac6 : En:ENSRNOG00000046984, a5e44 : Slc33a1 : En:ENSRNOG00000010023, a6554 : St6galnac6 : En:ENSRNOG00000046984, aac4c : B4galnt1 : En:ENSRNOG00000004839, ac2f6 : Slc33a1 : En:ENSRNOG00000010023, aeacd : St6galnac6 : En:ENSRNOG00000046984, aebce : Fut1 : En:ENSRNOG00000020995, afcaf : St8sia5 : En:ENSRNOG00000022691, b264b : A3galt2 : En:ENSRNOG00000005935, b3558 : St3gal2 : En:ENSRNOG00000017932, b3d19 : St3gal5 : En:ENSRNOG00000010284, b6d2f : Rps18 : En:ENSRNOG00000000471, bdf1b : St6galnac6 : En:ENSRNOG00000046984, bffc7 : St8sia5 : En:ENSRNOG00000022691, c043e : St8sia5 : En:ENSRNOG00000022691, c0e5a : St8sia3 : En:ENSRNOG00000018305, c1177 : B4galnt1 : En:ENSRNOG00000004839, c9847 : B4galnt1 : En:ENSRNOG00000004839, cdf19 : St3gal1 : En:ENSRNOG00000008209, cf073 : St8sia5 : En:ENSRNOG00000022691, cf2ea : B4galnt1 : En:ENSRNOG00000004839, d31b1 : B3galt1 : En:ENSRNOG00000007625, d342f : St3gal1 : En:ENSRNOG00000008209, d4372 : St3gal5 : En:ENSRNOG00000010284, d4a4c : St3gal1 : En:ENSRNOG00000008209, d4d63 : St8sia1 : En:ENSRNOG00000014018, d925e : Rps18 : En:ENSRNOG00000000471, da4e8 : St8sia1 : En:ENSRNOG00000014018, da8a5 : Fut1 : En:ENSRNOG00000020995, dd129 : St8sia1 : En:ENSRNOG00000014018, e3f4f : Rps18 : En:ENSRNOG00000000471, e48eb : Rps18 : En:ENSRNOG00000000471, e7a8b : St3gal2 : En:ENSRNOG00000017932, e98cb : St8sia5 : En:ENSRNOG00000022691, ef786 : St6galnac6 : En:ENSRNOG00000046984, f1e6c : St3gal1 : En:ENSRNOG00000008209, f2180 : B4galnt1 : En:ENSRNOG00000004839, f89d2 : St3gal2 : En:ENSRNOG00000017932, fab7e : B4galnt1 : En:ENSRNOG00000004839, fce3f : St3gal2 : En:ENSRNOG00000017932, ffabc : St8sia5 : En:ENSRNOG00000022691]	[]	[]	[]	[]
Lipid particles composition (WP3601)	88.0	18	16	0	1	0	1	[afbdf : Apoc3 : En:ENSRNOG00000047503, b3f63 : Apoc2 : En:ENSRNOG00000018402, d8f6c : Ldlr : En:ENSRNOG00000009946, d9a5a : Apoa2 : En:ENSRNOG00000003500, dd634 : Apoe : En:ENSRNOG00000018454, e67ea : Lcat : En:ENSRNOG00000019573, f6ce6 : Apoa1 : En:ENSRNOG00000045679, fe999 : Lpl : En:ENSRNOG00000012181, ff285 : Apob : En:ENSRNOG00000005542, dd474 : Apoe : En:ENSRNOG00000018454, b1904 : Apoc2 : En:ENSRNOG00000018402, baae8 : Apoc3 : En:ENSRNOG00000047503, e41e3 : Apoe : En:ENSRNOG00000018454, a9626 : Apoc2 : En:ENSRNOG00000018402, fc008 : Apoc3 : En:ENSRNOG00000047503, b807e : Apoe : En:ENSRNOG00000018454]	[]	[d1855 : CETP : En:ENSG00000087237]	[]	[abdd7 : Apo B-48 : :]
Direct reversal repair (WP4931)	100.0	3	3	0	0	0	0	[bb208 : Alkbh2 : En:ENSRNOG00000028584, bccc3 : Alkbh3 : En:ENSRNOG00000021678, d487f : Mgmt : En:ENSRNOG00000016038]	[]	[]	[]	[]
Bone morphogenic protein (BMP) signaling and regulation (WP1425)	100.0	20	20	0	0	0	0	[a052c : Runx2 : En:ENSRNOG00000020193, a18d8 : Smad6 : En:ENSRNOG00000009173, ade09 : Smurf1 : En:ENSRNOG00000000999, b20a8 : Tob1 : En:ENSRNOG00000002828, b6317 : Smad1 : En:ENSRNOG00000018483, b66d6 : Bmpr1a : En:ENSRNOG00000052469, c77da : Smad1 : En:ENSRNOG00000018483, cc9e5 : Nog : En:ENSRNOG00000023683, cfe05 : Bmpr2 : En:ENSRNOG00000022196, d6ace : Smad6 : En:ENSRNOG00000009173, d9194 : Smad4 : En:ENSRNOG00000051965, e2008 : Bmp2 : En:ENSRNOG00000071010, e3e90 : Smad1 : En:ENSRNOG00000018483, e45fb : Smad1 : En:ENSRNOG00000018483, e5831 : Tob2 : En:ENSRNOG00000050500, e7a65 : Smurf1 : En:ENSRNOG00000000999, f6220 : Smurf1 : En:ENSRNOG00000000999, fad85 : Smurf1 : En:ENSRNOG00000000999, faf94 : Smad1 : En:ENSRNOG00000018483, fb2c3 : Bmpr1b : En:ENSRNOG00000016289]	[]	[]	[]	[]
MAPK pathway in congenital thyroid cancer (WP4928)	94.0	17	16	0	1	0	0	[d1483 : Ksr1 : En:ENSRNOG00000012818, e6973 : Map2k2 : En:ENSRNOG00000020005, null : Elk1 : En:ENSRNOG00000010171, null : Fos : En:ENSRNOG00000008015, null : Myc : En:ENSRNOG00000004500, null : Jun : En:ENSRNOG00000026293, d092c : Raf1 : En:ENSRNOG00000010153, ce403 : Map2k1 : En:ENSRNOG00000010176, f7be1 : Sos2 : En:ENSRNOG00000004826, fc2a0 : MAPK3 : En:ENSRNOG00000067941, ceb27 : Alk : En:ENSRNOG00000008683, ebdd2 : MAPK3   : En:ENSRNOG00000067941, fdc59 : Shc1 : En:ENSRNOG00000020657, fae2d : Braf : En:ENSRNOG00000010957, e1fa5 : Sos1 : En:ENSRNOG00000007106, ef02e : Garem2 : En:ENSRNOG00000048004]	[]	[a29e8 :  RAS  : En:ENSG00000133703]	[]	[]
Unfolded protein response (WP4925)	100.0	33	33	0	0	0	0	[a2e15 : Bcl2 : En:ENSRNOG00000067693, a5e9c : Nfe2l2 : En:ENSRNOG00000001548, a871c : Pmaip1 : En:ENSRNOG00000018770, ab080 : Eif2s1 : En:ENSRNOG00000009432, b0985 : Ddit3 : En:ENSRNOG00000006789, b137c : Tnfrsf22 : En:ENSRNOG00000070689, c3bfd : Atf4 : En:ENSRNOG00000017801, c562d : Casp8 : En:ENSRNOG00000012331, c5925 : Bbc3 : En:ENSRNOG00000062473, ce0b7 : Ppp1r15a : En:ENSRNOG00000020938, d97f7 : Ern1 : En:ENSRNOG00000012864, db5d4 : Mbtps1 : En:ENSRNOG00000015173, e02bf : Il1b : En:ENSRNOG00000004649, e41de : Xbp1 : En:ENSRNOG00000010298, e8cff : Hspa5 : En:ENSRNOG00000018294, e95d3 : Casp1 : En:ENSRNOG00000007372, ed59d : Rtcb : En:ENSRNOG00000004813, f18dd : Txnip : En:ENSRNOG00000021201, f4bf8 : Atf4 : En:ENSRNOG00000017801, f7a1d : Casp2 : En:ENSRNOG00000016707, f9ac9 : Mbtps2 : En:ENSRNOG00000007644, f9f27 : Atf6 : En:ENSRNOG00000024632, fdad8 : Bcl2l11 : En:ENSRNOG00000016551, fdb62 : Bid : En:ENSRNOG00000012439, fdf1d : Eif2ak3 : En:ENSRNOG00000006069, feb38 : Tp53 : En:ENSRNOG00000010756, b76fd : Atf6 : En:ENSRNOG00000024632, ba3bd : Ppp1r15a : En:ENSRNOG00000020938, a7802 : Pmaip1 : En:ENSRNOG00000018770, bae6c : Bbc3 : En:ENSRNOG00000062473, ff910 : Bcl2l11 : En:ENSRNOG00000016551, d7669 : Tnfrsf22 : En:ENSRNOG00000070689, f3501 : Tnfrsf22 : En:ENSRNOG00000070689]	[]	[]	[]	[]
Mitochondrial complex III assembly (WP4921)	100.0	61	61	0	0	0	0	[a227c : Uqcc3 : En:ENSRNOG00000045561, acfff : RGD1561671 : En:ENSRNOG00000028997, aee2a : Uqcrh : En:ENSRNOG00000012550, b4236 : Uqcrc2 : En:ENSRNOG00000036742, b54d8 : Lyrm7 : En:ENSRNOG00000045961, bcadb : AABR07057237.1 : En:ENSRNOG00000026875, c70b5 : AABR07018627.1 : En:ENSRNOG00000038122, c8efe : Uqcrc1 : En:ENSRNOG00000032134, ce593 : Mt-cyb : En:ENSRNOG00000031766, d21b5 : Uqcrq : En:ENSRNOG00000067979, d9c79 : Uqcrfs1 : En:ENSRNOG00000018281, e08f3 : Cyc1 : En:ENSRNOG00000012457, e65ee : Bcs1l : En:ENSRNOG00000016754, e7199 : Uqcc1 : En:ENSRNOG00000048309, fb287 : Ttc19 : En:ENSRNOG00000002977, fbc7f : AABR07019061.1 : En:ENSRNOG00000009521, b5347 : RGD1561671 : En:ENSRNOG00000028997, ca714 : Mt-cyb : En:ENSRNOG00000031766, ea5c1 : Uqcc1 : En:ENSRNOG00000048309, f49fe : Uqcc3 : En:ENSRNOG00000045561, af29a : RGD1561671 : En:ENSRNOG00000028997, b749c : Uqcc1 : En:ENSRNOG00000048309, a069c : Uqcc3 : En:ENSRNOG00000045561, d5279 : Mt-cyb : En:ENSRNOG00000031766, e8f8b : AABR07018627.1 : En:ENSRNOG00000038122, cf14b : Uqcrq : En:ENSRNOG00000067979, e25d0 : Uqcc3 : En:ENSRNOG00000045561, d7f07 : Mt-cyb : En:ENSRNOG00000031766, ee6a3 : AABR07018627.1 : En:ENSRNOG00000038122, fa778 : Uqcrq : En:ENSRNOG00000067979, afa6f : Uqcrh : En:ENSRNOG00000012550, db74f : Uqcrc2 : En:ENSRNOG00000036742, cb5fb : Uqcrc1 : En:ENSRNOG00000032134, caa1d : Cyc1 : En:ENSRNOG00000012457, d05f9 : Lyrm7 : En:ENSRNOG00000045961, c8d4b : Uqcrfs1 : En:ENSRNOG00000018281, e7578 : Mt-cyb : En:ENSRNOG00000031766, dabb2 : AABR07018627.1 : En:ENSRNOG00000038122, d3a7d : Uqcrq : En:ENSRNOG00000067979, dd6fc : Uqcrh : En:ENSRNOG00000012550, e9354 : Uqcrc2 : En:ENSRNOG00000036742, a3dab : Uqcrc1 : En:ENSRNOG00000032134, e0622 : Cyc1 : En:ENSRNOG00000012457, c7c8a : AABR07057237.1 : En:ENSRNOG00000026875, ba211 : AABR07019061.1 : En:ENSRNOG00000009521, cbe73 : Lyrm7 : En:ENSRNOG00000045961, bd649 : Uqcrfs1 : En:ENSRNOG00000018281, f8e56 : Bcs1l : En:ENSRNOG00000016754, fd786 : Mt-cyb : En:ENSRNOG00000031766, ae158 : AABR07018627.1 : En:ENSRNOG00000038122, b9daa : Uqcrq : En:ENSRNOG00000067979, b3cf5 : Uqcrh : En:ENSRNOG00000012550, e271e : Uqcrc2 : En:ENSRNOG00000036742, ad29c : Uqcrc1 : En:ENSRNOG00000032134, f7a27 : Cyc1 : En:ENSRNOG00000012457, a4ba5 : AABR07057237.1 : En:ENSRNOG00000026875, bf418 : AABR07019061.1 : En:ENSRNOG00000009521, d89d4 : Lyrm7 : En:ENSRNOG00000045961, c604e : Uqcrfs1 : En:ENSRNOG00000018281, aa2ce : Bcs1l : En:ENSRNOG00000016754, f906a : Ttc19 : En:ENSRNOG00000002977]	[]	[]	[]	[]
Mitochondrial complex II assembly (WP4920)	87.0	24	21	0	3	0	0	[bbb94 : SDHD : En:ENSRNOG00000069895, bc2c8 : Sdhaf2 : En:ENSRNOG00000020646, c2416 : Sdhb : En:ENSRNOG00000007967, d336e : Sdha : En:ENSRNOG00000013331, dc52c : Sdhc : En:ENSRNOG00000003163, e88b1 : Sdhaf1 : En:ENSRNOG00000047045, f1ed0 : Sdhaf3 : En:ENSRNOG00000011283, d4271 : Sdha : En:ENSRNOG00000013331, cdfce : Sdhaf2 : En:ENSRNOG00000020646, a19ff : Sdhaf1 : En:ENSRNOG00000047045, a2ede : Sdha : En:ENSRNOG00000013331, b7fa1 : Sdhb : En:ENSRNOG00000007967, ad807 : Sdhaf3 : En:ENSRNOG00000011283, c12ba : Sdhaf1 : En:ENSRNOG00000047045, a2fbb : Sdhb : En:ENSRNOG00000007967, c68e7 : Sdhaf1 : En:ENSRNOG00000047045, c997f : Sdhaf3 : En:ENSRNOG00000011283, c93a7 : SDHD : En:ENSRNOG00000069895, c7265 : Sdhb : En:ENSRNOG00000007967, aeca1 : Sdhc : En:ENSRNOG00000003163, c5075 : Sdha : En:ENSRNOG00000013331]	[]	[f4e80 : SDHAF4 : En:ENSG00000154079, f1c12 : SDHAF4 : En:ENSG00000154079, be104 : SDHAF4 : En:ENSG00000154079]	[]	[]
