Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_alternative_id,has_exact_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/IAO_0000231,http://purl.obolibrary.org/obo/IAO_0100001,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,part_of
http://purl.obolibrary.org/obo/PW_0001457,nystatin pharmacokinetics pathway,,"The pathway of processing - absorption, distribution, metabolism or elimination -of nystatin. Nystatin is an antifungal that binds to ergosterol - a component of the fungal cell membrane, and also with cholesterol. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0001456,,"The pathway of processing - absorption, distribution, metabolism or elimination -of nystatin. Nystatin is an antifungal that binds to ergosterol - a component of the fungal cell membrane, and also with cholesterol. Genetic variations can result in changes in the availability of the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001456,,,,VPetri,2013-09-05T17:29:29Z,,,PW:0001457,,,nystatin pharmacokinetics pathway,,PW:0001457,
http://purl.obolibrary.org/obo/PW_0000104,intrinsic apoptotic pathway,Reactome:R-HSA-109606,"The apoptotic pathway involving organelles, primarily the mitochondrion and endoplasmic reticulum (ER), and involving the pro and anti-apoptotic members of the Bcl family of proteins, cytochrome c, formation of the apoptosome and activation of caspases.|The reference was compiled based on the information available in the cited article.",false,,,http://purl.obolibrary.org/obo/PW_0000009,,"The apoptotic pathway involving organelles, primarily the mitochondrion and endoplasmic reticulum (ER), and involving the pro and anti-apoptotic members of the Bcl family of proteins, cytochrome c, formation of the apoptosome and activation of caspases.",,Reactome:R-HSA-109606,,pathway,,,http://purl.obolibrary.org/obo/PW_0000009,,,,,,,,PW:0000104,,The reference was compiled based on the information available in the cited article.,intrinsic apoptotic pathway,,PW:0000104,
http://purl.obolibrary.org/obo/PW_0001656,amiodarone drug pathway,,"The pharmacokinetics and pharmacodynamics pathway of amiodarone, a drug used in the treatment of arrhythmia. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002336,,"The pharmacokinetics and pharmacodynamics pathway of amiodarone, a drug used in the treatment of arrhythmia. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002336,,,,VPetri,2015-03-04T15:44:15Z,,,PW:0001656,,,amiodarone drug pathway,,PW:0001656,
http://purl.obolibrary.org/obo/PW_0001711,ramipril pharmacokinetics pathway,SMP:00597,"The pathway of processing - absorption, distribution, metabolism or elimination - of ramipril, an ACE inhibitor. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0001710|http://purl.obolibrary.org/obo/PW_0001230,,"The pathway of processing - absorption, distribution, metabolism or elimination - of ramipril, an ACE inhibitor. Genetic variations can result in changes in the availability of the drug.",,,,pathway,SMP:00597,,http://purl.obolibrary.org/obo/PW_0001710|http://purl.obolibrary.org/obo/PW_0001230,,,,VPetri,2015-06-05T11:35:30Z,,,PW:0001711,,,ramipril pharmacokinetics pathway,,PW:0001711,
http://purl.obolibrary.org/obo/PW_0001517,altered Hippo signaling pathway,,A Hippo signaling pathway that deviates from what its normal course should be. Deregulated Hippo signaling has been implicated in tumor metastasis.,false,,,http://purl.obolibrary.org/obo/PW_0001515|http://purl.obolibrary.org/obo/PW_0000673|http://purl.obolibrary.org/obo/PW_0001199,,A Hippo signaling pathway that deviates from what its normal course should be. Deregulated Hippo signaling has been implicated in tumor metastasis.,,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001515|http://purl.obolibrary.org/obo/PW_0000673|http://purl.obolibrary.org/obo/PW_0001199,,,,VPetri,2014-03-19T11:53:13Z,,,PW:0001517,,,altered Hippo signaling pathway,,PW:0001517,
http://purl.obolibrary.org/obo/PW_0000960,sphingosine 1-phosphate signaling pathway,PID:200046|S1P signaling pathway|PID:200054|PID:200085|PID:200211|PID:200076|PID:200123,"Sphingosine 1-phosphate (S1P), a sphingolipid metabolite, can signal intracellularly as a second messenger or extracellularly as a ligand for five G protein coupled receptors. S1P pathway plays important roles in processes such as cell migration, proliferation and survival. The five receptors engage similar G proteins but their expression varies.",false,,,http://purl.obolibrary.org/obo/PW_0000959|http://purl.obolibrary.org/obo/PW_0000541,,"Sphingosine 1-phosphate (S1P), a sphingolipid metabolite, can signal intracellularly as a second messenger or extracellularly as a ligand for five G protein coupled receptors. S1P pathway plays important roles in processes such as cell migration, proliferation and survival. The five receptors engage similar G proteins but their expression varies.",,,,pathway,PID:200046|S1P signaling pathway|PID:200054|PID:200085|PID:200211|PID:200076|PID:200123,,http://purl.obolibrary.org/obo/PW_0000959|http://purl.obolibrary.org/obo/PW_0000541,,,,VPetri,2012-05-17T01:10:40Z,,,PW:0000960,,,sphingosine 1-phosphate signaling pathway,,PW:0000960,
http://purl.obolibrary.org/obo/PW_0000049,cysteine metabolic pathway,SMP:00013,"Those metabolic reactions involved in the synthesis, utilization and/or degradation of cysteine, a non-essential amino acid that could be essential in certain cases. Its side chain contains a sulfhydryl group that is readily oxidized to form the cystine dimer covalently linked by a disulfide bond.|Reference compiled based on the information available at OneLook for cysteine.",false,,,http://purl.obolibrary.org/obo/PW_0001075,,"Those metabolic reactions involved in the synthesis, utilization and/or degradation of cysteine, a non-essential amino acid that could be essential in certain cases. Its side chain contains a sulfhydryl group that is readily oxidized to form the cystine dimer covalently linked by a disulfide bond.",,,,pathway,SMP:00013,,http://purl.obolibrary.org/obo/PW_0001075,,,,,,,,PW:0000049,,Reference compiled based on the information available at OneLook for cysteine.,cysteine metabolic pathway,,PW:0000049,
http://purl.obolibrary.org/obo/PW_0000120,styrene degradation pathway,,"Those enzymatic reactions involved in the degradation of styrene - an aromatic hydrocarbon that is colorless and oily. It is used in the manufacture of rubber, resins, plastics. It is a toxic, possibly carcinogenic substance.",false,,,http://purl.obolibrary.org/obo/PW_0000107,,"Those enzymatic reactions involved in the degradation of styrene - an aromatic hydrocarbon that is colorless and oily. It is used in the manufacture of rubber, resins, plastics. It is a toxic, possibly carcinogenic substance.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000107,,,,,,,,PW:0000120,,,styrene degradation pathway,,PW:0000120,
http://purl.obolibrary.org/obo/PW_0002628,bortezomib pharmacokinetics pathway,,"The pathway of processing - absorption, distribution, metabolism or elimination - of bortezomib. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002627,,"The pathway of processing - absorption, distribution, metabolism or elimination - of bortezomib. Genetic variations can result in changes in the availability of the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002627,,,,vpetri,2016-09-29T13:32:31Z,,,PW:0002628,,,bortezomib pharmacokinetics pathway,,PW:0002628,
http://purl.obolibrary.org/obo/PW_0000492,renin-angiotensin cascade pathway,RAS system signaling pathway|KEGG:04614,"The renin-angiotensin cascade (RAS) generates a number of bioactive peptides with diverse physiological and pathophysiological functions. RAS exerts vasoconstriction, vasodilation or vascular remodeling, cell proliferation or anti-proliferation effects, depending on which angiotensin peptide generates the signaling. Some of these features are also shared by the kallikrein-kinin system (KKS); the two systems can interact and cross-talk.",false,,,http://purl.obolibrary.org/obo/PW_0000476|http://purl.obolibrary.org/obo/PW_0001757,,"The renin-angiotensin cascade (RAS) generates a number of bioactive peptides with diverse physiological and pathophysiological functions. RAS exerts vasoconstriction, vasodilation or vascular remodeling, cell proliferation or anti-proliferation effects, depending on which angiotensin peptide generates the signaling. Some of these features are also shared by the kallikrein-kinin system (KKS); the two systems can interact and cross-talk.",,,,pathway,RAS system signaling pathway|KEGG:04614,http://purl.obolibrary.org/obo/PW_0000476,http://purl.obolibrary.org/obo/PW_0000476|http://purl.obolibrary.org/obo/PW_0001757,,,,,,,,PW:0000492,,,renin-angiotensin cascade pathway,,PW:0000492,
http://purl.obolibrary.org/obo/PW_0002443,opioid drug pathway,,"The pharmacokinetics and pharmacodynamics of compounds used to alleviate pain and which act on the nervous system in a way similar to opiate. They can be natural opiates, like morphine or codeine, endogenous opioid peptide, like endorphins, semi- or fully synthetic opioids, or drugs that chemically are not of the opioid class but act as agonists of opioid receptors. Others can act as antagonists or mixed agonists/antagonists. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",false,,,http://purl.obolibrary.org/obo/PW_0001546,,"The pharmacokinetics and pharmacodynamics of compounds used to alleviate pain and which act on the nervous system in a way similar to opiate. They can be natural opiates, like morphine or codeine, endogenous opioid peptide, like endorphins, semi- or fully synthetic opioids, or drugs that chemically are not of the opioid class but act as agonists of opioid receptors. Others can act as antagonists or mixed agonists/antagonists. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001546,,,,VPetri,2016-01-26T09:21:13Z,,,PW:0002443,,,opioid drug pathway,,PW:0002443,
http://purl.obolibrary.org/obo/PW_0002016,furosemide pharmacodynamics pathway,SMP:00115,The pathway of furosemide-target interaction and of the biochemical or physiological responses to drug. The drug blocks the luminal sodium-potassium-chloride symporter in the thick ascending limb of the loop of Henle. Furosemide is used in the treatment of hypertension and edema.  Genetic variations can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0002014,,The pathway of furosemide-target interaction and of the biochemical or physiological responses to drug. The drug blocks the luminal sodium-potassium-chloride symporter in the thick ascending limb of the loop of Henle. Furosemide is used in the treatment of hypertension and edema.  Genetic variations can cause differences in the response of the organism to the drug.,,,,pathway,SMP:00115,,http://purl.obolibrary.org/obo/PW_0002014,,,,VPetri,2015-10-02T13:13:35Z,,,PW:0002016,,,furosemide pharmacodynamics pathway,,PW:0002016,
http://purl.obolibrary.org/obo/PW_0001692,inorganic chemical homeostasis pathway,,"Those pathways involved in the proper balance of inorganic chemical levels, uptake and transport, utilization and storage, as demanded by the needs of cells tissues and organs. Disruption of inorganic chemical homeostasis can have harmful consequences. Collectively they represent a broad class of substances that do not  contain carbon. Chemical elements are also included.",false,,,http://purl.obolibrary.org/obo/PW_0000355,,"Those pathways involved in the proper balance of inorganic chemical levels, uptake and transport, utilization and storage, as demanded by the needs of cells tissues and organs. Disruption of inorganic chemical homeostasis can have harmful consequences. Collectively they represent a broad class of substances that do not  contain carbon. Chemical elements are also included.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000355,,,,VPetri,2015-05-21T10:15:12Z,,,PW:0001692,,,inorganic chemical homeostasis pathway,,PW:0001692,
http://purl.obolibrary.org/obo/PW_0000697,carotenoid biosynthetic pathway,,"Those metabolic reactions involved in the synthesis of carotenoids, organic pigments found in plants and other photosynthetic organisms. Some can act as antioxidants.",false,,,http://purl.obolibrary.org/obo/PW_0000147,,"Those metabolic reactions involved in the synthesis of carotenoids, organic pigments found in plants and other photosynthetic organisms. Some can act as antioxidants.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000147,,,,VPetri,2009-10-20T10:29:04Z,,,PW:0000697,,,carotenoid biosynthetic pathway,,PW:0000697,
http://purl.obolibrary.org/obo/Reactome_R-HSA-181431,Reactome_R-HSA-181431,,,true,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,http://purl.obolibrary.org/obo/PW_0000841,,,,,,,,,,true,Reactome:R-HSA-181431,
http://purl.obolibrary.org/obo/PW_0001448,lomitapide pharmacodynamics pathway,,The pathway of lomitapide-target interaction and of the biochemical or physiological responses to drug. The drug is an inhibitor of microsomal triglyceride transport protein and used to lower cholesterol levels. Genetic variations can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0001446,,The pathway of lomitapide-target interaction and of the biochemical or physiological responses to drug. The drug is an inhibitor of microsomal triglyceride transport protein and used to lower cholesterol levels. Genetic variations can cause differences in the response of the organism to the drug.,,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001446,,,,VPetri,2013-08-26T09:41:48Z,,,PW:0001448,,,lomitapide pharmacodynamics pathway,,PW:0001448,
http://purl.obolibrary.org/obo/PW_0002155,bumetanide pharmacodynamics pathway,SMP:00088,The pathway of bumetanide-target interaction and of the biochemical or physiological responses to drug. The drug blocks the luminal sodium-potassium-chloride symporter in the thick ascending limb of the loop of Henle. Bumetanide is used in the treatment of heart failure.  Genetic variations can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0002153,,The pathway of bumetanide-target interaction and of the biochemical or physiological responses to drug. The drug blocks the luminal sodium-potassium-chloride symporter in the thick ascending limb of the loop of Henle. Bumetanide is used in the treatment of heart failure.  Genetic variations can cause differences in the response of the organism to the drug.,,,,pathway,SMP:00088,,http://purl.obolibrary.org/obo/PW_0002153,,,,VPetri,2015-11-02T15:23:10Z,,,PW:0002155,,,bumetanide pharmacodynamics pathway,,PW:0002155,
http://purl.obolibrary.org/obo/PW_0001825,spirapril drug pathway,,The pharmacokinetics and pharmacodynamics of spirapril - an angiotensin converting enzyme (ACE) inhibitor. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0001228,,The pharmacokinetics and pharmacodynamics of spirapril - an angiotensin converting enzyme (ACE) inhibitor. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.,,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001228,,,,VPetri,2015-08-20T10:49:54Z,,,PW:0001825,,,spirapril drug pathway,,PW:0001825,
http://purl.obolibrary.org/obo/PW_0002415,altered endosomal pathway,,Any alteration of an aspect pertinent to endosomal pathway. Defects in endosomal sorting and export have been associated with human conditions such as neurodegenerative diseases.,false,,,http://purl.obolibrary.org/obo/PW_0002411|http://purl.obolibrary.org/obo/PW_0002414,,Any alteration of an aspect pertinent to endosomal pathway. Defects in endosomal sorting and export have been associated with human conditions such as neurodegenerative diseases.,,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002411|http://purl.obolibrary.org/obo/PW_0002414,,,,VPetri,2016-01-13T13:44:31Z,,,PW:0002415,,,altered endosomal pathway,,PW:0002415,
http://purl.obolibrary.org/obo/PW_0000212,choline metabolic pathway,SMP:00123,"Choline metabolism is important for the synthesis of phosphatidylcholine in mammalian cells. Its oxidation results in the production of betaine, an important methyl donor. In the brain, it is converted to the powerful neurotransmitter acetylcholine.",false,,,http://purl.obolibrary.org/obo/PW_0000211,,"Choline metabolism is important for the synthesis of phosphatidylcholine in mammalian cells. Its oxidation results in the production of betaine, an important methyl donor. In the brain, it is converted to the powerful neurotransmitter acetylcholine.",,,,pathway,SMP:00123,,http://purl.obolibrary.org/obo/PW_0000211,,,,,,,,PW:0000212,,,choline metabolic pathway,,PW:0000212,
http://purl.obolibrary.org/obo/PW_0001617,adefovir pharmacokinetics pathway,SMP:00629,"The pathway of processing - absorption, distribution, metabolism or elimination - of adefovir. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0001616,,"The pathway of processing - absorption, distribution, metabolism or elimination - of adefovir. Genetic variations can result in changes in the availability of the drug.",,,,pathway,SMP:00629,,http://purl.obolibrary.org/obo/PW_0001616,,,,vpetri,2015-02-12T14:44:43Z,,,PW:0001617,,,adefovir pharmacokinetics pathway,,PW:0001617,
http://purl.obolibrary.org/obo/PW_0000661,single-strand DNA repair pathway,,A DNA repair pathway responsible for removing one or several damaged nucleotides or of  nucleotide mismatched during DNA replication in one of the DNA strands. Several excision pathways are available for correcting single-strand damage.,false,,,http://purl.obolibrary.org/obo/PW_0000099,,A DNA repair pathway responsible for removing one or several damaged nucleotides or of  nucleotide mismatched during DNA replication in one of the DNA strands. Several excision pathways are available for correcting single-strand damage.,,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000099,,,,,,,,PW:0000661,,,single-strand DNA repair pathway,,PW:0000661,
http://purl.obolibrary.org/obo/PW_0001412,nervous system disease pathway,,"Any disease that affects the central or peripheral nervous system. It includes disorders of the brain, neurological, neurodegenerative, cerebrovascular disorders, syndromes, dystrophies, diseases of the central and peripheral nervous system, and others. However, mental or neuropsychiatric disorders are not included.",false,,,http://purl.obolibrary.org/obo/PW_0000013,,"Any disease that affects the central or peripheral nervous system. It includes disorders of the brain, neurological, neurodegenerative, cerebrovascular disorders, syndromes, dystrophies, diseases of the central and peripheral nervous system, and others. However, mental or neuropsychiatric disorders are not included.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000013,,,,VPetri,2013-07-01T09:53:15Z,,,PW:0001412,,,nervous system disease pathway,,PW:0001412,
http://purl.obolibrary.org/obo/PW_0002002,ibandronate pharmacodynamics pathway,SMP:00079,The pathway of ibandronate-target interaction and of the biochemical or physiological responses to drug. Ibandronate is a nitrogenous bisphosphonate drug used to treat bone diseases. Genetic variations can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0002000,,The pathway of ibandronate-target interaction and of the biochemical or physiological responses to drug. Ibandronate is a nitrogenous bisphosphonate drug used to treat bone diseases. Genetic variations can cause differences in the response of the organism to the drug.,,,,pathway,SMP:00079,,http://purl.obolibrary.org/obo/PW_0002000,,,,VPetri,2015-10-01T15:01:20Z,,,PW:0002002,,,ibandronate pharmacodynamics pathway,,PW:0002002,
http://purl.obolibrary.org/obo/PW_0000193,N-Glycan degradation pathway,,Those metabolic reactions involved in the degradation of N-Glycans. N-Glycans are found attached to the R-group nitrogen of asparagine.,true,,,,,Those metabolic reactions involved in the degradation of N-Glycans. N-Glycans are found attached to the R-group nitrogen of asparagine.,,,,pathway,,,,,,,,,,,PW:0000193,,,N-Glycan degradation pathway,true,PW:0000193,
http://purl.obolibrary.org/obo/PW_0000860,sulfonation conjugation pathway,,"The sulfonation of phase I products by members of the sulfotransferase family represents a major route of phase II biotransformation, second to the glucuronidation pathway.",false,,,http://purl.obolibrary.org/obo/PW_0000858,,"The sulfonation of phase I products by members of the sulfotransferase family represents a major route of phase II biotransformation, second to the glucuronidation pathway.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000858,,,,VPetri,2011-04-04T05:12:08Z,,,PW:0000860,,,sulfonation conjugation pathway,,PW:0000860,
http://purl.obolibrary.org/obo/PW_0002543,dihydromorphine pharmacokinetics pathway,,"The pathway of processing - absorption, distribution, metabolism or elimination - of dihydrolmorphine. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002542,,"The pathway of processing - absorption, distribution, metabolism or elimination - of dihydrolmorphine. Genetic variations can result in changes in the availability of the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002542,,,,VPetri,2016-02-25T08:56:15Z,,,PW:0002543,,,dihydromorphine pharmacokinetics pathway,,PW:0002543,
http://purl.obolibrary.org/obo/PW_0002283,naloxone pharmacokinetics pathway,,"The pathway of processing - absorption, distribution, metabolism or elimination - of naloxone. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002282,,"The pathway of processing - absorption, distribution, metabolism or elimination - of naloxone. Genetic variations can result in changes in the availability of the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002282,,,,VPetri,2015-11-23T11:04:42Z,,,PW:0002283,,,naloxone pharmacokinetics pathway,,PW:0002283,
http://purl.obolibrary.org/obo/PW_0001969,ketoprofen drug pathway,,"The pharmacokinetics and pharmacodynamics pathway of ketoprofen, a non-steroidal anti-inflammatory drug that also has analgesic and antipyretic effects. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",false,,,http://purl.obolibrary.org/obo/PW_0001170|http://purl.obolibrary.org/obo/PW_0001546,,"The pharmacokinetics and pharmacodynamics pathway of ketoprofen, a non-steroidal anti-inflammatory drug that also has analgesic and antipyretic effects. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0001170|http://purl.obolibrary.org/obo/PW_0001546,,,,VPetri,2015-09-24T15:23:47Z,,,PW:0001969,,,ketoprofen drug pathway,,PW:0001969,
